scenario,day,class,emissions_kgCO2,co2_per_unit,litres,trips
C,2,aircraft,11874.45,2.63,4515.000000000001,0.15050000000000002
C,3,aircraft,11874.45,2.63,4515.000000000001,0.15050000000000002
C,4,aircraft,11874.45,2.63,4515.000000000001,0.15050000000000002
C,5,aircraft,11874.45,2.63,4515.000000000001,0.15050000000000002
C,6,aircraft,11874.45,2.63,4515.000000000001,0.15050000000000002
C,7,aircraft,11874.45,2.63,4515.000000000001,0.15050000000000002
C,8,aircraft,11874.45,2.63,4515.000000000001,0.15050000000000002
C,9,aircraft,11874.45,2.63,4515.000000000001,0.15050000000000002
C,10,aircraft,11874.45,2.63,4515.000000000001,0.15050000000000002
C,11,aircraft,11874.45,2.63,4515.000000000001,0.15050000000000002
C,12,aircraft,11874.45,2.63,4515.000000000001,0.15050000000000002
C,13,aircraft,11874.45,2.63,4515.000000000001,0.15050000000000002
C,14,aircraft,11874.45,2.63,4515.000000000001,0.15050000000000002
C,15,aircraft,11874.45,2.63,4515.000000000001,0.15050000000000002
C,16,aircraft,11874.45,2.63,4515.000000000001,0.15050000000000002
C,17,aircraft,11874.45,2.63,4515.000000000001,0.15050000000000002
C,18,aircraft,11874.45,2.63,4515.000000000001,0.15050000000000002
C,19,aircraft,11874.45,2.63,4515.000000000001,0.15050000000000002
C,20,aircraft,11874.45,2.63,4515.000000000001,0.15050000000000002
C,21,aircraft,11874.45,2.63,4515.000000000001,0.15050000000000002
C,22,aircraft,11874.45,2.63,4515.000000000001,0.15050000000000002
C,23,aircraft,11874.45,2.63,4515.000000000001,0.15050000000000002
C,24,aircraft,11874.45,2.63,4515.000000000001,0.15050000000000002
C,25,aircraft,11874.45,2.63,4515.000000000001,0.15050000000000002
C,26,aircraft,11874.45,2.63,4515.000000000001,0.15050000000000002
C,27,aircraft,11874.45,2.63,4515.000000000001,0.15050000000000002
C,28,aircraft,11874.45,2.63,4515.000000000001,0.15050000000000002
C,29,aircraft,11874.45,2.63,4515.000000000001,0.15050000000000002
C,30,aircraft,11874.45,2.63,4515.000000000001,0.15050000000000002
